LandUse,BldgArea,NumBldgs,NumFloors,ProxCode,LotType,BoroCode,BBL,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Shape_Leng,Shape_Area,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Latitude,Longitude,NTA
3.0,21070,1,4.0,1.0,5.0,4,4156610041,1051805,160312,25b,,408 003,46001.0,,1,1.0,1.0,19v2,,569.558718625,15658.6107413,21070.0,21,34,5.6,1.0,40.606699,-73.756389,Far Rockaway-Bayswater
3.0,94032,1,6.0,1.0,5.0,4,4158150071,1051604,155827,31a,,408 038,46003.0,,1,1.0,1.0,19v2,,1031.93913525,53150.1231812,94032.0,19,79,6.2,0.5,40.59382,-73.757729,Far Rockaway-Bayswater
8.0,154051,2,4.0,1.0,1.0,4,4158200001,1050543,155684,31a,,408 036,46003.0,,1,1.0,1.0,19v2,1.0,1930.35411646,147246.399972,167480.0,23,72,8.0,0.4,40.593834,-73.76174,Far Rockaway-Bayswater
6.0,70246,2,1.0,1.0,3.0,4,4161510036,1034617,153143,30c,,421 002,46203.0,,1,,1.0,19v2,,1188.88041949,65191.3102756,70246.0,22,18,9.2,0.4,40.586412,-73.818742,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
8.0,371401,2,6.0,1.0,5.0,5,5000060021,962826,172695,21c,,501 008,50101.0,,1,,,19v2,1.0,1928.35818112,152289.193448,182000.0,4,76,8.9,0.4,40.64112,-74.076847,West New Brighton-New Brighton-St. George
5.0,98280,1,5.0,1.0,3.0,5,5000070001,963170,173329,21c,,501 008,50101.0,,1,,,19v2,1.0,889.185408692,54479.5515691,79092.0,115,48,9.4,0.9,40.642197,-74.075201,West New Brighton-New Brighton-St. George
2.0,236523,32,3.0,1.0,5.0,5,5001690001,951939,172263,21a,,501 064,50104.0,,1,1.0,1.0,19v2,,3376.08075087,411791.309748,236523.0,12,71,2.1,0.8,40.63965,-74.11545,West New Brighton-New Brighton-St. George
3.0,107960,1,7.0,1.0,5.0,5,5002400003,956811,165609,21b,,501 051,50201.0,,1,,,19v2,,1116.63137459,59489.7727105,122151.0,54,79,3.9,0.0,40.621485,-74.097447,New Brighton-Silver Lake
3.0,107960,1,7.0,1.0,5.0,5,5002400016,956664,165452,21b,,501 051,50201.0,,1,,,19v2,,1220.95276736,75561.50363200002,122880.0,54,76,4.0,0.0,40.62099,-74.098059,New Brighton-Silver Lake
5.0,25900,3,3.0,3.0,4.0,5,5005210037,962734,167836,21c,,501 036,50301.0,,1,,1.0,19v2,,552.802681108,12606.5480199,13900.0,88,89,4.7,0.2,40.627056,-74.077213,Stapleton-Rosebank
8.0,51519,1,3.0,1.0,5.0,5,5005340075,962864,165490,21d,,501 038,50302.0,,1,,,19v2,1.0,844.598596004,42818.02516070001,69320.0,43,88,8.8,0.0,40.620534,-74.077266,Stapleton-Rosebank
8.0,56427,1,4.0,1.0,5.0,5,5005380012,961518,167449,21d,Y,501 031,50302.0,,1,,,19v2,,1040.78795217,46939.0817091,60377.0,18,100,4.5,0.0,40.626355,-74.082259,Stapleton-Rosebank
8.0,24500,2,2.0,1.0,1.0,5,5006100127,956774,162834,21b,,501 055,50303.0,,1,,,19v2,1.0,1783.06446882,124668.064671,31500.0,65,66,6.3,0.5,40.613721,-74.099626,Grymes Hill-Clifton-Fox Hills
8.0,24500,2,2.0,1.0,1.0,5,5006100127,956774,162834,21b,,501 055,50303.0,,1,,,19v2,1.0,1783.06446882,124668.064671,31606.0,66,50,6.4,0.5,40.613721,-74.099626,Grymes Hill-Clifton-Fox Hills
8.0,161500,1,14.0,1.0,5.0,5,5006200100,959020,163202,21b,,501 053,50303.0,,1,,,19v2,,734.273979522,33134.0822923,161500.0,51,100,3.2,0.0,40.612357,-74.092035,Grymes Hill-Clifton-Fox Hills
8.0,63263,1,5.0,1.0,5.0,5,5006310071,957840,162069,21b,,501 062,50303.0,,1,,,19v2,,1365.52547313,112756.863745,63263.0,14,2,18.0,0.3,40.610998,-74.0958,Grymes Hill-Clifton-Fox Hills
8.0,686130,52,3.0,1.0,5.0,5,5009550100,947850,154679,27a,Y,503 376,50405.0,,1,1.0,1.0,19v2,1.0,20238.5825768,8380455.59134,406800.0,89,69,5.3,0.0,40.596803,-74.124227,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
8.0,686130,52,3.0,1.0,5.0,5,5009550100,947850,154679,27a,Y,503 376,50405.0,,1,1.0,1.0,19v2,1.0,20238.5825768,8380455.59134,387149.0,51,70,5.6,0.0,40.596803,-74.124227,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
3.0,56100,1,6.0,1.0,3.0,5,5010350019,946985,170763,20c,Y,502 204,50501.0,,1,,,19v2,,739.800267563,28747.5629724,60027.0,25,81,5.4,0.5,40.635243,-74.133947,Port Richmond
6.0,42546,1,1.0,1.0,3.0,5,5011570031,943174,170837,20c,,502 237,50503.0,,1,,,19v2,,903.767538574,30067.0061094,42546.0,88,68,1.7,0.1,40.635383,-74.147703,Mariner's Harbor-Arlington-Port Ivory-Graniteville
6.0,28000,1,1.0,1.0,5.0,5,5014100183,932666,169544,20a,,502 273,50603.0,,1,1.0,1.0,19v2,,2283.79908603,304526.684058,27200.0,58,4,7.1,1.4,40.63158,-74.185002,Mariner's Harbor-Arlington-Port Ivory-Graniteville
8.0,185000,4,8.0,1.0,5.0,5,5022500002,947928,150335,27b,,504 426,51001.0,,1,1.0,1.0,19v2,,4223.64220261,815775.401815,211000.0,26,56,15.9,0.9,40.579571,-74.13169,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
8.0,418012,1,4.0,1.0,5.0,5,5023640001,940196,155046,26c,,504 436,51002.0,,1,,,19v2,1.0,2185.57682805,294428.476416,209050.0,44,92,4.6,0.0,40.593005,-74.158988,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
8.0,126000,1,4.0,1.0,5.0,5,5024500305,939556,151652,26c,Y,504 462,51002.0,,1,,,19v2,1.0,2170.30447191,295800.098903,107125.0,18,47,12.1,0.3,40.583139,-74.161862,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
5.0,135809,1,1.0,2.0,5.0,5,5024600001,937916,148729,26d,,504 460,51002.0,,1,,,19v2,,1648.90644944,168913.324429,139865.0,6,72,14.7,0.2,40.576081,-74.169783,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
3.0,71400,1,6.0,1.0,5.0,5,5028320017,966753,162104,21d,,501 046,51201.0,,1,,,19v2,,1228.91724963,48163.4150297,72000.0,20,42,6.7,0.8,40.611237,-74.064016,Stapleton-Rosebank
8.0,76623,1,3.0,1.0,1.0,5,5028520001,965102,162734,21d,,501 044,51201.0,,1,,,19v2,1.0,1525.63968899,143790.205885,70080.0,38,51,9.1,0.4,40.613216,-74.069889,Stapleton-Rosebank
3.0,76206,1,6.0,1.0,3.0,5,5028670266,962302,163932,21d,,503 308,51202.0,,1,,,19v2,,1108.66899696,60788.9118077,77730.0,46,30,6.6,0.8,40.616144,-74.079015,Grymes Hill-Clifton-Fox Hills
3.0,76206,1,6.0,1.0,3.0,5,5028670266,962302,163932,21d,,503 308,51202.0,,1,,,19v2,,1108.66899696,60788.9118077,76206.0,46,93,6.8,0.2,40.616144,-74.079015,Grymes Hill-Clifton-Fox Hills
3.0,326646,3,6.0,1.0,3.0,5,5028710001,961620,163974,21d,,503 308,51202.0,,1,,,19v2,,1984.53152387,206961.131461,324946.0,54,51,5.0,0.8,40.617098,-74.080763,Grymes Hill-Clifton-Fox Hills
3.0,326646,3,6.0,1.0,3.0,5,5028710001,961620,163974,21d,,503 308,51202.0,,1,,,19v2,,1984.53152387,206961.131461,326646.0,54,63,5.0,0.8,40.617098,-74.080763,Grymes Hill-Clifton-Fox Hills
3.0,297600,3,6.0,1.0,1.0,5,5029220150,961317,163231,21d,,503 307,51202.0,,1,,,19v2,,1834.2555563,143006.882006,297600.0,49,39,5.3,0.9,40.614116,-74.082395,Grymes Hill-Clifton-Fox Hills
8.0,76623,2,3.0,1.0,5.0,5,5030970014,964663,157103,27c,,503 313,51301.0,,1,,,19v2,1.0,1294.06341706,86910.62492260002,51680.0,88,73,5.8,0.4,40.597679,-74.071529,Grasmere-Arrochar-Ft. Wadsworth
8.0,76623,2,3.0,1.0,5.0,5,5030970014,964663,157103,27c,,503 313,51301.0,,1,,,19v2,1.0,1294.06341706,86910.62492260002,43645.0,94,37,6.9,0.5,40.597679,-74.071529,Grasmere-Arrochar-Ft. Wadsworth
2.0,30960,3,2.0,1.0,5.0,5,5031070012,967033,158079,27c,,503 314,51301.0,,1,,,19v2,,1058.06020719,54300.5640532,30960.0,50,19,2.1,1.2,40.600361,-74.062489,Grasmere-Arrochar-Ft. Wadsworth
8.0,180000,1,3.0,1.0,5.0,5,5043730001,947238,147249,27b,Y,504 447,51902.0,,1,,,19v2,1.0,1407.68272503,101495.858419,79375.0,55,88,5.0,0.4,40.571187,-74.132634,Oakwood-Oakwood Beach
5.0,61752,1,1.0,1.0,5.0,5,5046450415,944213,141316,33c,,504 449,52001.0,,1,,,19v2,,1237.88103174,91411.7017408,64148.0,18,83,24.2,0.0,40.553993,-74.144198,Great Kills
8.0,82900,1,2.0,1.0,3.0,5,5047160060,949728,143660,27b,Y,504 439,52101.0,,1,,1.0,19v2,1.0,2481.58875814,236530.419477,99700.0,62,84,3.7,0.4,40.561691,-74.124622,Oakwood-Oakwood Beach
2.0,43018,2,2.0,1.0,5.0,5,5050160005,946061,142095,33c,,504 435,52102.0,,1,,,19v2,,1276.08715515,87928.9321033,43018.0,43,70,5.2,0.5,40.556495,-74.138266,Oakwood-Oakwood Beach
8.0,109000,1,3.0,1.0,5.0,5,5070440001,924788,136755,33a,,505 565,52901.0,,1,,,19v2,1.0,1699.61132647,171123.470642,114125.0,22,53,9.5,0.3,40.542246,-74.214002,Rossville-Woodrow
8.0,68068,2,2.0,1.0,5.0,5,5070920039,923396,136605,33a,,505 545,52901.0,,1,,,19v2,1.0,1678.1542274,121829.265721,74816.0,4,90,5.0,0.0,40.541555,-74.217932,Charleston-Richmond Valley-Tottenville
5.0,349503,27,2.0,1.0,5.0,5,5071870001,920597,140429,32c,,505 577,52901.0,,1,1.0,1.0,19v2,,8442.09035003,3220021.81249,349503.0,48,100,3.0,0.0,40.548258,-74.225183,Charleston-Richmond Valley-Tottenville
5.0,155282,1,1.0,1.0,5.0,5,5074690200,920679,131970,32d,,599 999,53001.0,,1,,,19v2,,2934.03916367,533116.887527,146485.0,13,100,2.1,0.2,40.527654,-74.229887,Charleston-Richmond Valley-Tottenville
5.0,144760,1,1.0,1.0,5.0,5,5074810001,919788,131969,32d,,599 999,53001.0,,1,,,19v2,,2927.40582006,511515.060881,143876.0,13,72,14.9,0.3,40.527705,-74.230733,Charleston-Richmond Valley-Tottenville
5.0,70202,2,2.0,1.0,5.0,5,5074870050,918937,132021,32d,,505 564,53001.0,,1,,,19v2,,1902.89019126,192407.858486,69625.0,3,42,54.0,1.1,40.527981,-74.235183,Charleston-Richmond Valley-Tottenville
8.0,30600,1,3.0,2.0,5.0,3,3053340064,990042,173729,22c,,310A 31,31607.0,,1,,,19v2,,582.405263491,16486.0491765,46060.0,24,69,9.9,0.2,40.64382,-73.979626,Kensington-Ocean Parkway
3.0,90000,1,6.0,1.0,5.0,3,3053580063,991733,173048,22c,,310A051,31608.0,,1,,,19v2,,785.303561077,26542.2774231,88000.0,58,77,4.3,0.7,40.641747,-73.97379,Kensington-Ocean Parkway
3.0,73026,2,6.0,2.0,3.0,3,3053740010,991411,172640,22c,,310A052,31609.0,,1,,,19v2,,608.754664646,20721.4935846,73026.0,57,74,4.3,0.7,40.640341,-73.973545,Kensington-Ocean Parkway
