GeoID,Mean household income (dollars),Civilian noninstitutionalized population with private insurance,Population in labour force,Population with determined poverty status,Population with 65 years and over,Population,Total households,School Employees,Population with bachelor’s degree or higher,Married males,Married females,Average household size,Vacant housing units,Median Gross Rent (dollars),Housing units with 3 or more vehicles available
BK0101,118805.0,25809,23475,34454,3788,34554,16242,4587,16534,15186,15905,2.11,1300,2046.0,166
BK0102,141815.0,38362,37382,57690,4536,57774,25403,10282,26775,24610,24540,2.27,2335,2384.0,243
BK0103,55151.0,12921,12140,45377,3629,45724,10419,20365,2006,12391,12446,4.36,679,1138.0,0
BK0104,89296.0,29672,31045,52240,6439,52363,22920,9912,16675,22676,23509,2.23,1147,1411.0,111
BK0201,215400.0,20867,14124,21875,3506,23758,11150,5398,14577,9482,10876,1.91,1303,2384.0,87
BK0202,169459.0,27103,22356,34696,2671,35288,15827,7102,18758,14145,15443,2.16,1761,2558.0,33
BK0203,118569.0,20921,18292,31273,3882,32653,14049,6696,12909,12456,15106,2.19,1088,1526.0,77
BK0204,123661.0,22033,16728,25564,2939,27082,11747,6332,12981,10254,12904,2.16,1017,1971.0,123
BK0301,89133.0,46901,43790,81586,7108,82014,30981,21158,22489,28940,35638,2.62,3495,1467.0,307
BK0302,81725.0,50105,45428,85801,10060,86386,33586,20144,21013,32524,39476,2.53,3819,1309.0,620
BK0401,78088.0,26340,31728,53108,3987,53557,19646,12248,13190,22639,22130,2.68,1492,1628.0,179
BK0402,71386.0,30381,31994,59133,6142,59406,20914,14684,10209,23991,25213,2.81,2306,1510.0,434
BK0501,69833.0,20961,18801,40716,3921,40908,12644,10937,3575,15220,16906,3.22,1982,1432.0,288
BK0502,55656.0,17031,18177,40831,3870,41261,13660,10924,3108,13546,17830,2.92,1797,1313.0,241
BK0503,54129.0,23957,21510,47258,6425,47868,18599,12297,5034,16297,21757,2.52,2350,1120.0,357
BK0504,43164.0,6897,6111,14839,4360,14883,7671,3639,2313,4504,7813,1.93,384,861.0,66
