BBL,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Latitude,Longitude,NTA
1009990019,577534.0,30,72,12.9,0,40.75831,-73.982504,Midtown-Midtown South
1013190047,394646.0,58,63,13.7,0.1,40.753074,-73.972753,Turtle Bay-East Midtown
1009950005,1539113.0,20,46,20.3,0.2,40.756181,-73.986244,Midtown-Midtown South
1014800001; 1014820040,2405480.0,87,75,8.7,5.4,40.764149,-73.955251,Lenox Hill-Roosevelt Island
1022440100,308789.0,28,38,31.4,1.6,40.872385,-73.912668,park-cemetery-etc-Manhattan
1012980023,577266.0,32,74,14.2,0,40.752424,-73.97532,Turtle Bay-East Midtown
1000480001,1248923.0,52,65,15.6,0,40.709043,-74.010626,Battery Park City-Lower Manhattan
1000350010,885474.0,51,66,11.7,0,40.704553,-74.006636,Battery Park City-Lower Manhattan
1002160001,1852980.0,33,92,8.8,0.2,40.720659,-74.010098,SoHo-TriBeCa-Civic Center-Little Italy
1009960029,838075.0,51,76,15.5,0.2,40.755942,-73.983324,Midtown-Midtown South
5024000210,179200.0,25,63,12.4,0.1,40.580505,-74.163098,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
2051410003,166320.0,22,61,15.1,0.1,40.86455,-73.82977,Co-op City
4018600102,204340.0,15,71,13.6,0.1,40.734273,-73.868744,Elmhurst
4004160010,767029.0,18,83,12.2,0.1,40.750561,-73.939315,Queensbridge-Ravenswood-Long Island City
1012890014,914761.4,37,88,17,0,40.760107,-73.974768,Midtown-Midtown South
1000627501,2281918.0,47,78,13,0,40.709589,-74.010186,Battery Park City-Lower Manhattan
1000047501,2537669.0,49,61,15,0.2,40.70254,-74.012562,Battery Park City-Lower Manhattan
1013010001,1573122.0,52,55,18.4,0,40.754826,-73.975683,Turtle Bay-East Midtown
1012760058,1123417.0,16,75,22.3,0,40.752236,-73.979712,Murray Hill-Kips Bay
1012580009,1497125.0,48,74,14.6,0,40.755352,-73.983732,Midtown-Midtown South
1000160120,1412074.0,33,77,17.5,0,40.711425,-74.015442,Battery Park City-Lower Manhattan
1000160125,2436524.0,33,75,17.9,0.1,40.711537,-74.015673,Battery Park City-Lower Manhattan
1007830070,2171983.0,49,62,8.3,0.6,40.751098,-73.992926,Midtown-Midtown South
1010280029,437052.0,49,60,15.7,0.1,40.765015,-73.980416,Midtown-Midtown South
1013137501,940848.0,16,65,33.6,0,40.761887,-73.968421,Turtle Bay-East Midtown
4071170130,143975.0,15,88,8,0,40.740254,-73.78639,Fresh Meadows-Utopia
3064910011,133882.0,15,55,12.7,0.3,40.595105,-74.000904,Bensonhurst West
1012580021,840623.0,92,44,4.1,1.8,40.75379,-73.981599,Midtown-Midtown South
1012850036,762933.0,64,72,13.1,0,40.756802,-73.974271,Midtown-Midtown South
1012809010,2947757.0,56,45,14.7,0,40.754162,-73.976557,Turtle Bay-East Midtown
1010087503,375698.0,31,74,12.5,0,40.764538,-73.979813,Midtown-Midtown South
4000790030,1414803.0,34,67,16.7,0,40.746704,-73.943476,Hunters Point-Sunnyside-West Maspeth
4004377501,437571.0,12,96,7.6,0.1,40.747571,-73.943522,Hunters Point-Sunnyside-West Maspeth
1013060001,1798735.0,51,51,18.4,0,40.758171,-73.973246,Turtle Bay-East Midtown
1008550037,518623.0,47,48,11.3,0,40.742616,-73.986698,Hudson Yards-Chelsea-Flatiron-Union Square
1000250001,400143.0,54,53,14.1,0,40.705189,-74.011505,Battery Park City-Lower Manhattan
1012870028,360242.0,33,78,20.4,0,40.758814,-73.973989,Midtown-Midtown South
1007860001,778712.0,93,76,12.5,0.1,40.753612,-73.992417,Midtown-Midtown South
3087797501,93000.0,19,55,11.6,0.5,40.58374,-73.946044,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
3084701018,107569.0,17,59,9,0.5,40.607524,-73.916003,Georgetown-Marine Park-Bergen Beach-Mill Basin
1000477501,1858900.0,104,80,10.1,0,40.708546,-74.011041,Battery Park City-Lower Manhattan
1010890001,814289.0,19,62,7.1,0.6,40.761487,-73.999917,Hudson Yards-Chelsea-Flatiron-Union Square
1013940023,849062.0,133,22,18.6,0,40.761894,-73.966349,Upper East Side-Carnegie Hill
1012910021,127158.0,99,62,15.1,0.1,40.761081,-73.97323,Midtown-Midtown South
1012860021,893750.0,39,12,11.7,0.9,40.758114,-73.975393,Midtown-Midtown South
1012670001,1927376.0,56,55,15.7,0,40.760857,-73.979717,Midtown-Midtown South
