LandUse,LotArea,BldgArea,NumBldgs,NumFloors,UnitsRes,LotFront,LotDepth,BldgFront,BldgDepth,ProxCode,LotType,AssessLand,BuiltFAR,BoroCode,BBL,XCoord,YCoord,ZoneMap,Sanborn,TaxMap,PLUTOMapID,Shape_Leng,Shape_Area,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Energy Use (kBtu),Latitude,Longitude,NTA,GeoID,ntaname,Mean household income (dollars),Civilian noninstitutionalized population with private insurance,Population in labour force,Population with determined poverty status,Population with 65 years and over,Population,Total households,School Employees,Population with bachelor’s degree or higher,Married males,Married females,Average household size,Vacant housing units,Median Gross Rent (dollars),Housing units with 3 or more vehicles available
5,12960,178460,1,13.0,0,131.25,98.75,0.0,0.0,2,5,999000,13.77,1,1007290163,984765,213631,8d,105S018,10302,1,468.9991262,13471.97919,197424.0,106,79,111.4,4182.3,10515786.1,40.753099,-73.997704,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,4366,52543,1,12.0,13,45.17,98.75,43.0,90.0,3,5,429300,12.03,1,1008010065,986111,210825,8d,105S012,10305,1,285.0107324,4318.870094,42422.0,108,85,76.5,2588.2,2927399.8,40.745334,-73.992703,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
4,14318,76450,1,6.0,77,123.42,120.0,123.0,120.0,2,3,1962000,5.34,1,1007710046,985183,210102,8d,103 034,10304,1,492.2684938,14651.54092,61690.0,79,43,146.0,54772.4,7408374.5,40.743106,-73.996377,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,34562,1300727,1,42.0,0,197.5,175.0,196.0,173.0,3,3,14895000,37.63,1,1007580037,986011,213514,8d,105N031,10304,1,758.8176249,35732.86106,1300000.0,90,98,86.4,289630.7,58220390.1,40.752295,-73.993402,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,6335,32718,1,7.0,35,58.17,109.5,58.0,97.0,3,5,499500,5.16,1,1007700059,984737,210062,8d,103 034,10304,1,345.229039,6686.223949,35008.0,106,86,83.8,721.8,2108815.0,40.743328,-73.997828,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,18400,165513,1,8.0,0,100.0,184.0,100.0,184.0,3,4,2493000,9.0,1,1007950028,985581,209271,8d,103 030,10305,1,564.6922436,17411.02175,119000.0,118,58,171.0,24.3,11873884.2,40.740715,-73.995219,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
4,17528,562325,1,51.0,598,197.5,100.0,197.5,100.0,1,3,7887600,32.08,1,1010697501,985220,215713,8d,105N039,10405,1,611.1055458,18454.83448,468454.0,4,50,142.2,107203.2,35467362.7,40.758797,-73.996087,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
4,17528,562325,1,51.0,598,197.5,100.0,197.5,100.0,1,3,7887600,32.08,1,1010697501,985220,215713,8d,105N039,10405,1,611.1055458,18454.83448,603200.0,3,67,108.7,107446.7,35557401.6,40.758888,-73.996022,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,5530,66115,1,12.0,8,56.0,98.75,56.0,90.0,2,5,846000,11.96,1,1008000068,985897,210650,8d,105S011,10305,1,314.6752227,5657.464883,66115.0,108,87,86.9,134.5,3926097.6,40.744805,-73.993352,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
8,7176,39990,1,5.0,0,78.0,92.0,74.0,91.0,3,5,981000,5.57,1,1007670068,984184,209542,8d,103 033,10304,1,340.3017807,7170.186586,48953.0,116,27,158.2,11236.5,3467361.4,40.741657,-73.999307,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
